623	1000	1724448187
2962	3700	1724448242
3023	2962	1724448264
2018	2000	1724448274
3509	3000	1724448297
2346	2800	1724448306
3080	2700	1724448346
2475	2500	1724448370
1447	1700	1724448409
2678	2400	1724448418
1007	1300	1724448426
358	600	1724448431
2380	200	1724448438
1925	1700	1724448520
3340	3000	1724448525
2493	200	1724448532
1594	800	1724448581
1652	1500	1724448592
4013	2800	1724448616
1740	3000	1724448628
1017	1000	1724448636
3721	3000	1724448641
2669	2100	1724448646
3845	4000	1724448650
203	30	1724448656
1674	1000	1724448665
3530	3200	1724448670
2500	2800	1724448678
2993	3000	1724448686
2902	3100	1724448699
838	700	1724448710
3251	4000	1724448715
2905	3000	1724448720
2465	2700	1724448724
910	600	1724450832
2448	3000	1724450877
2189	2600	1724450885
2288	2500	1724450941
1507	3700	1724612666
899	2000	1724613970
3311	3700	1724613981
2956	4000	1724614084
